,NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),avg_rain,RICE YIELD (Kg per ha)
3958,208.32,66.94,36.16,75.44166667,4649.43
3959,224.04,78.46,36.53,75.65,4525.69
3960,212.65,79.42,36.89,188.0666667,3758.66
3961,9.39,14.04,7.07,143.5166667,1520.77
3962,15.78,5.69,6.51,97.525,1755.49
3963,28.85,11.07,6.78,77.125,1740.35
3964,42.87,10.93,6.92,107.95,1678.71
3965,36.23,14.01,10.86,92.01666667,2132.86
3966,40.33,11.04,10.12,115.6666667,2153.99
3967,41.07,14.36,12.61,114.45,2298.97
3968,29.47,10.77,10.82,85.725,2602.74
3969,35.89,12.38,10.97,55.83333333,2005
3970,46.48,9.72,10.08,90.51666667,2362.77
3971,38.01,10.51,12.04,87.725,2264.79
3972,54.32,14.49,17.77,127.3583333,2567.6
3973,54.11,14.82,19.56,100.8,2068.72
3974,61.75,16.54,19.55,120.225,2066.89
3975,67.92,18.87,25.65,57.8,1865.07
3976,64.83,19.11,25.07,100.7916667,2580.27
3977,47.26,18,19.03,55.85833333,1712.12
3978,71.37,24.03,25.32,98.825,2050.92
3979,73.58,22.83,26.85,102.6166667,2320
3980,79.22,30.4,28.47,121.7916667,3147.67
3981,83.36,24.83,24.56,99.91666667,3650.79
3982,76.06,28.42,28.47,89.45,3118.11
3983,85.94,30.91,38.55,72.45,3252.42
3984,74.24,30.09,38.63,79.95833333,3508.03
3985,82.65,34.99,48.9,82.45,3398.97
3986,68.37,26.83,41.62,87.89166667,3547.17
3987,84.85,32.59,30.22,81.55,3227.14
3988,81.85,31.47,34.56,113.0833333,2480.16
3989,93.3,37.28,45.73,68.39166667,3590.22
3990,82.05,29.54,36.9,78.96666667,3311.78
3991,100,34.49,37.21,152.925,2565.72
3992,96.94,39.13,42.99,128.15,3136.03
3993,100.7,38.78,38.19,105.0583333,3538.55
3994,108.14,45.17,43.54,99.60833333,3675.24
3995,120.11,46.19,63.63,30.8,3473.7
3996,113.87,45.07,45.03,70.425,3652.12
3997,105.12,36.13,41.52,83.01666667,2858.39
3998,102.05,44.04,41.79,108.8083333,3078.52
3999,116.78,58.19,58.17,135.5,3023.9
4000,130.71,68.29,62.46,158.4916667,2582.96
4001,132.47,65.87,52.49,112.5166667,3550.84
4002,101.47,37.53,44.64,101.8666667,3285.46
4003,123.06,37.63,68.23,153.0666667,2652.75
4004,133.4,46.62,69.73,89.06666667,3041.85
4005,144.78,56.16,66.82,128.9166667,3061.22
4006,172.13,72.48,54.32,15.3,2869.8
4007,172.15,65.2,37.25,73.56666667,3233.66
4008,158.43,51.29,39.52,81.475,4573.46
4009,169.74,58.84,49.37,101.4916667,4816.27
4010,188.3,65.67,44.48,142.1416667,3972.94
4011,12.45,6.99,5.63,106.2916667,1322.26
4012,13.28,4.54,5.17,87.10833333,1179.21
4013,19.74,5.02,6.32,50.11666667,1220.66
4014,33.42,9.48,6.07,95.83333333,1540.21
4015,28.45,10.65,9.17,87.975,2143.34
4016,30.69,9.05,8.43,79.74166667,2064.6
